"","id","first_name","height_feet","height_inches","last_name","position","weight_pounds","team.id","team.abbreviation","team.city","team.conference","team.division","team.full_name","team.name"
"964",1435,"Reggie",NA,NA,"Evans","F",NA,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder"
"965",1436,"Dan",NA,NA,"Gadzuric","C",NA,17,"MIL","Milwaukee","East","Central","Milwaukee Bucks","Bucks"
"966",1437,"Marcus",NA,NA,"Haislip","",NA,17,"MIL","Milwaukee","East","Central","Milwaukee Bucks","Bucks"
"967",1438,"Flip",NA,NA,"Murray","",NA,17,"MIL","Milwaukee","East","Central","Milwaukee Bucks","Bucks"
"968",1439,"Caron",NA,NA,"Butler","F",NA,16,"MIA","Miami","East","Southeast","Miami Heat","Heat"
"969",1440,"Rasual",NA,NA,"Butler","",NA,16,"MIA","Miami","East","Southeast","Miami Heat","Heat"
"970",1441,"Drew",NA,NA,"Gooden","F",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"971",1442,"Gordan",NA,NA,"Giricek","",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"972",1443,"Mike",NA,NA,"Batiste","",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"973",1444,"Juaquin",NA,NA,"Hawkins","",NA,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets"
"974",1445,"Yao",NA,NA,"Ming","",NA,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets"
"975",1446,"Bostjan",NA,NA,"Nachbar","",NA,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets"
"976",1447,"Fred",NA,NA,"Jones","",NA,12,"IND","Indiana","East","Central","Indiana Pacers","Pacers"
"977",1448,"Dan",NA,NA,"Dickau","",NA,1,"ATL","Atlanta","East","Southeast","Atlanta Hawks","Hawks"
"978",1449,"Tamar",NA,NA,"Slay","",NA,3,"BKN","Brooklyn","East","Atlantic","Brooklyn Nets","Nets"
"979",1450,"Guy",NA,NA,"Rucker","",NA,10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors"
"980",1451,"Devin",NA,NA,"Brown","",NA,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"981",1452,"Robert",NA,NA,"Archibald","",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"982",1453,"Adam",NA,NA,"Harrington","",NA,7,"DAL","Dallas","West","Southwest","Dallas Mavericks","Mavericks"
"983",1454,"Ken",NA,NA,"Johnson","",NA,16,"MIA","Miami","East","Southeast","Miami Heat","Heat"
"984",1455,"Cezary",NA,NA,"Trybanski","",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"985",1456,"Dajuan",NA,NA,"Wagner","",NA,6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers"
"986",1457,"Predrag",NA,NA,"Savovic","",NA,8,"DEN","Denver","West","Northwest","Denver Nuggets","Nuggets"
"987",1458,"Tito",NA,NA,"Maddox","",NA,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets"
"988",1459,"Melvin",NA,NA,"Ely","",NA,13,"LAC","LA","West","Pacific","LA Clippers","Clippers"
"989",1460,"Sean",NA,NA,"Lampley","",NA,16,"MIA","Miami","East","Southeast","Miami Heat","Heat"
