"","last_name","first_name","team","PER","WS.48","BPM","VORP"
"264","Pittman","Dexter","MEM",-7.7,-0.239,-23.2,-0.1
"265","James","LeBron","MIA",31.6,0.322,11.7,9.9
"266","Bosh","Chris","MIA",20,0.175,1.3,2.1
"267","Wade","Dwyane","MIA",24,0.192,4.4,3.8
"268","Chalmers","Mario","MIA",13.3,0.12,0.4,1.3
"269","Allen","Ray","MIA",14.7,0.126,0.3,1.2
"270","Battier","Shane","MIA",10.7,0.119,1,1.4
"271","Cole","Norris","MIA",7.9,0.019,-4.9,-1.2
"272","Haslem","Udonis","MIA",9.9,0.108,-3.2,-0.4
"273","Miller","Mike","MIA",13.5,0.137,1.5,0.8
"274","Lewis","Rashard","MIA",11.1,0.071,-2.5,-0.1
"275","Andersen","Chris","MIA",17.4,0.207,-0.2,0.3
"276","Anthony","Joel","MIA",10.4,0.1,-1.3,0.1
"277","Jones","James","MIA",8.1,0.054,-3,-0.1
"278","Howard","Juwan","MIA",9.9,0.039,-9.3,-0.1
"279","Varnado","Jarvis","MIA",-4.1,-0.122,-13.5,-0.1
"280","Harrellson","Josh","MIA",8.5,0.002,-5.9,0
"281","Harris","Terrel","MIA",7.2,-0.04,-9.8,-0.1
"282","Pittman","Dexter","MIA",17,0.114,-11.3,0
"283","Ellis","Monta","MIL",16.2,0.071,0.6,2.1
"284","Jennings","Brandon","MIL",16.1,0.096,1.1,2.2
"285","İlyasova","Ersan","MIL",18.3,0.159,2,2
"286","Dunleavy","Mike","MIL",13.6,0.109,0.4,1.2
"287","Sanders","Larry","MIL",18.7,0.149,1,1.5
"288","Mbah","Luc","MIL",9.1,0.017,-4.1,-0.7
"289","Udoh","Ekpe","MIL",12,0.098,-1.7,0.1
"290","Daniels","Marquis","MIL",9.2,0.023,-2.9,-0.2
"291","Henson","John","MIL",18.2,0.109,-1.7,0.1
"292","Redick","J.J.","MIL",11.9,0.078,-2,0
"293","Dalembert","Samuel","MIL",18.6,0.137,-0.6,0.3
"294","Udrih","Beno","MIL",13.6,0.07,-1.4,0.1
"295","Harris","Tobias","MIL",13,0.08,-2.1,0
"296","Lamb","Doron","MIL",3,-0.076,-8.9,-0.5
"297","Ayón","Gustavo","MIL",16.6,0.132,-0.5,0.1
"298","Gooden","Drew","MIL",7.7,-0.034,-6.7,-0.2
"299","Smith","Ish","MIL",12.1,0.049,-1.2,0
"300","Przybilla","Joel","MIL",3.3,-0.005,-7.3,-0.1
"301","Ridnour","Luke","MIN",13,0.084,-0.8,0.8
"302","Kirilenko","Andrei","MIN",17.6,0.142,3.5,2.9
"303","Cunningham","Dante","MIN",13.3,0.084,-1.4,0.3
"304","Peković","Nikola","MIN",20.2,0.163,0.5,1.2
"305","Williams","Derrick","MIN",14.5,0.076,-1.5,0.2
"306","Shved","Alexey","MIN",11,0.02,-1.7,0.1
"307","Barea","J.J.","MIN",14.1,0.053,-0.6,0.6
"308","Rubio","Ricky","MIN",16.2,0.085,1.1,1.3
"309","Stiemsma","Greg","MIN",10.5,0.069,-2.8,-0.3
"310","Gelabale","Mickaël","MIN",11.8,0.114,-0.2,0.3
"311","Love","Kevin","MIN",17.9,0.084,0.4,0.4
"312","Budinger","Chase","MIN",12.6,0.066,-1.4,0.1
"313","Lee","Malcolm","MIN",9.8,0.059,-1.3,0
"314","Johnson","Chris","MIN",18.4,0.176,1.6,0.3
"315","Howard","Josh","MIN",9.5,0.009,-3.8,-0.1
"316","Amundson","Lou","MIN",6.3,-0.038,-7.9,-0.2
"317","Roy","Brandon","MIN",8.3,-0.017,-4.2,-0.1
"318","Hayward","Lazar","MIN",11.2,0.087,-1.9,0
"319","Conroy","Will","MIN",-15.2,-0.433,-24.9,-0.1
"320","Vásquez","Greivis","NOH",16.3,0.067,-0.4,1.1
"321","Anderson","Ryan","NOH",18.1,0.125,2,2.5
"322","Lopez","Robin","NOH",18.9,0.126,0.6,1.4
"323","Aminu","Al-Farouq","NOH",13.7,0.073,-0.1,1
"324","Davis","Anthony","NOH",21.7,0.159,2.5,2.1
"325","Rivers","Austin","NOH",5.9,-0.038,-6.2,-1.5
"326","Roberts","Brian","NOH",14.6,0.078,-0.6,0.5
"327","Gordon","Eric","NOH",15.4,0.042,-1.3,0.2
"328","Mason","Roger","NOH",10,0.057,-1.9,0.1
"329","Smith","Jason","NOH",16.8,0.095,-1.6,0.1
